Marque,AI-IQ Agents,Catégorie,Proof URL,Résultat Audit 2A,Status,URL,URL Officielle
Patek Philippe,,01_Luxury,,97,,https://www.patek.com,https://www.patek.com/
Loro Piana,,01_Luxury,,96,,https://www.loropiana.com,https://www.lvmh.fr/
Brunello Cucinelli,,01_Luxury,,95,,https://www.brunellocucinelli.com,https://investor.brunellocucinelli.com/
Vacheron Constantin,,01_Luxury,,94,,https://www.vacheron-constantin.com,https://www.richemont.com/sustainability/
Cartier,,01_Luxury,,94,,https://www.cartier.com,https://www.cartier.com/
Rolex,,01_Luxury,,93,,https://www.rolex.com,https://www.rolex.com/
Audemars Piguet,,01_Luxury,,93,,https://www.audemarspiguet.com,https://www.audemarspiguet.com/
Chanel,,01_Luxury,,92,,https://www.chanel.com,https://www.chanel.com/
Louis Vuitton,,01_Luxury,,91,,https://www.louisvuitton.com,https://www.lvmh.fr/
Hermès,,01_Luxury,,98,,https://www.hermes.com,https://finance.hermes.com/fr/
Van Cleef & Arpels,,01_Luxury,,91,,https://www.vancleefarpels.com,https://www.vancleefarpels.com/
Schiaparelli,,01_Luxury,,91,,https://www.schiaparelli.com,https://www.schiaparelli.com/
Piaget,,01_Luxury,,91,,https://www.piaget.com,https://www.piaget.com/
Dior,,01_Luxury,,90,,https://www.dior.com,https://www.dior.com/
Breguet,,01_Luxury,,90,,https://www.breguet.com,https://www.swatchgroup.com/
Comme des Garçons,,01_Luxury,,90,,https://www.comme-des-garcons.com,https://www.comme-des-garcons.com/
Jaeger-LeCoultre,,01_Luxury,,89,,https://www.jaeger-lecoultre.com,https://www.jaeger-lecoultre.com/
Dries Van Noten,,01_Luxury,,89,,https://www.driesvannoten.com,https://www.puig.com/
Bulgari,,01_Luxury,,89,,https://www.bulgari.com,https://www.bulgari.com/
Oscar de la Renta,,01_Luxury,,89,,https://www.oscardelarenta.com,https://www.oscardelarenta.com/
Rimowa,,01_Luxury,,88,,https://www.rimowa.com,https://www.lvmh.fr/
Prada,,01_Luxury,,87,,https://www.prada.com,https://www.pradagroup.com/
Saint Laurent,,01_Luxury,,87,,https://www.ysl.com,https://www.kering.com/
Fendi,,01_Luxury,,86,,https://www.fendi.com,https://www.fendi.com/
Gucci,,01_Luxury,,84,,https://www.gucci.com,https://www.kering.com/
Balenciaga,,01_Luxury,,50,,https://www.balenciaga.com,https://www.kering.com/
Goyard,,01_Luxury,,46,,https://www.goyard.com,https://www.goyard.com/
La Roche-Posay,,02_Beauty,,98,,https://www.laroche-posay.fr,https://www.loreal.com/
Dior Beauty,,02_Beauty,,98,,https://www.dior.com/beauty,https://www.lvmh.fr/
Chanel Beauty,,02_Beauty,,96,,https://www.chanel.com/beauty,https://www.chanel.com/
Augustinus Bader,,02_Beauty,,95,,https://augustinusbader.com,https://augustinusbader.com/
Fenty Beauty,,02_Beauty,,94,,https://fentybeauty.com,https://www.lvmh.fr/
Lyma Life,,02_Beauty,,93,,https://lyma.life,https://lyma.life/
Biologique Recherche,,02_Beauty,,93,,https://www.biologique-recherche.com,https://www.biologique-recherche.com/
Rare Beauty,,02_Beauty,,92,,https://www.rarebeauty.com,https://www.rarebeauty.com/
Dr. Barbara Sturm,,02_Beauty,,92,,https://www.drsturm.com,https://www.drsturm.com/
Rationale,,02_Beauty,,91,,https://www.rationale.com,https://www.rationale.com/
The Ordinary,,02_Beauty,,91,,https://theordinary.com,https://www.elcompanies.com/
Sephora,,02_Beauty,,90,,https://www.sephora.fr,https://www.lvmh.fr/
Typology,,02_Beauty,,90,,https://www.typology.com,https://www.typology.com/
Creed,,02_Beauty,,90,,https://www.creedfragrance.com,https://www.blackrock.com/
Ex Nihilo,,02_Beauty,,89,,https://www.ex-nihilo-paris.com,https://www.ex-nihilo-paris.com/
Pat McGrath Labs,,02_Beauty,,89,,https://www.patmcgrath.com,https://www.patmcgrath.com/
Westman Atelier,,02_Beauty,,88,,https://www.westman-atelier.com,https://www.westman-atelier.com/
Estée Lauder,,02_Beauty,,88,,https://www.esteelauder.fr,https://www.elcompanies.com/
Lancôme,,02_Beauty,,87,,https://www.lancome.fr,https://www.loreal.com/
Sulwhasoo,,02_Beauty,,86,,https://www.sulwhasoo.com,https://www.sulwhasoo.com/
Clinique,,02_Beauty,,86,,https://www.clinique.fr,https://www.elcompanies.com/
Clarins,,02_Beauty,,84,,https://www.clarins.fr,https://www.clarins.fr/
Huda Beauty,,02_Beauty,,84,,https://hudabeauty.com,https://hudabeauty.com/
Shiseido,,02_Beauty,,83,,https://www.shiseido.fr,https://corp.shiseido.com/
Aesop,,02_Beauty,,79,,https://www.aesop.com,https://www.loreal.com/
CeraVe,,02_Beauty,,77,,https://www.cerave.fr,https://www.loreal.com/
Glossier,,02_Beauty,,66,,https://www.glossier.com,https://www.glossier.com/
Rhode,,02_Beauty,,38,,https://www.rhodeskin.com,https://www.rhodeskin.com/
Chopard,,01_Luxury,,87,,https://www.chopard.com,https://www.chopard.com/
Loewe,,01_Luxury,,85,,https://www.loewe.com,https://www.lvmh.fr/
Omega,,01_Luxury,,88,,https://www.omegawatches.com,https://www.omegawatches.com/
IWC Schaffhausen,,01_Luxury,,88,,https://www.iwc.com,https://www.iwc.com/
Maison Margiela,,01_Luxury,,88,,https://www.maisonmargiela.com,https://www.otb.net/
Bottega Veneta,,01_Luxury,,86,,https://www.bottegaveneta.com,https://www.kering.com/
Celine,,01_Luxury,,86,,https://www.celine.com,https://www.lvmh.fr/
Burberry,,01_Luxury,,82,,https://www.burberry.com,https://www.burberryplc.com/
Dolce & Gabbana,,01_Luxury,,66,,https://www.dolcegabbana.com,https://www.dolcegabbana.com/
Bond No.9,,02_Beauty,,88,,https://www.bondno9.com,https://www.bondno9.com/
Jo Malone,,02_Beauty,,84,,https://www.jomalone.fr,https://www.elcompanies.com/
Ilia Beauty,,02_Beauty,,83,,https://iliabeauty.com,https://www.famillec.com/
Lisa Eldridge,,02_Beauty,,83,,https://www.lisaeldridge.com,https://www.lisaeldridge.com/
Sunday Riley,,02_Beauty,,80,,https://sundayriley.com,https://sundayriley.com/
Kiehl's,,02_Beauty,,79,,https://www.kiehls.fr,https://www.loreal.com/
Drunk Elephant,,02_Beauty,,75,,https://www.drunkelephant.com,https://corp.shiseido.com/
Avene,,02_Beauty,,73,,https://www.eau-thermale-avene.fr,https://www.pierre-fabre.com/
YSL Beauty,,02_Beauty,,72,,https://www.yslbeauty.fr,https://www.loreal.com/
Aman Residences,,03_Real Estate,,99,,https://www.aman.com/residences,https://www.aman.com/residences
Knight Frank,,03_Real Estate,,98,,https://www.knightfrank.com,https://www.knightfrank.com/
Sotheby's International Realty,,03_Real Estate,,98,,https://www.sothebysrealty.com,https://www.sothebysrealty.com/
The Ritz-Carlton Residences,,03_Real Estate,,97,,https://www.marriott.com,https://www.marriott.com/
Savills,,03_Real Estate,,97,,https://www.savills.com,https://www.savills.com/
Four Seasons Private Residences,,03_Real Estate,,97,,https://www.fourseasons.com/residences/,https://www.fourseasons.com/residences/
SERHANT.,,03_Real Estate,,96,,https://www.serhant.com,https://www.serhant.com/
Christie's International Real Estate,,03_Real Estate,,96,,https://www.christiesrealestate.com,https://www.christiesrealestate.com/
EMAAR Properties,,03_Real Estate,,96,,https://www.emaar.com,https://www.emaar.com/
V&A Waterfront,,03_Real Estate,,95,,https://www.waterfront.co.za,https://www.waterfront.co.za/
Swire Properties,,03_Real Estate,,95,,https://www.swireproperties.com,https://www.swireproperties.com/
Kretz Family Real Estate,,03_Real Estate,,94,,https://www.kretz.fr,https://www.kretz.fr/
JLL,,03_Real Estate,,94,,https://www.jll.com,https://www.jll.com/
CBRE Residential,,03_Real Estate,,94,,https://www.cbre.com,https://www.cbre.com/
The Agency (Mauricio Umansky),,03_Real Estate,,93,,https://www.theagencyre.com,https://www.theagencyre.com/
Related Companies,,03_Real Estate,,93,,https://www.related.com,https://www.related.com/
Extell Development,,03_Real Estate,,93,,https://www.extell.com,https://www.extell.com/
Chelsfield,,03_Real Estate,,92,,https://www.chelsfield.com,https://www.chelsfield.com/
Barnes International,,03_Real Estate,,91,,https://www.barnes-international.com,https://www.barnes-international.com/
Engel & Völkers,,03_Real Estate,,91,,https://www.engelvoelkers.com,https://www.engelvoelkers.com/
Daniel Féau,,03_Real Estate,,91,,https://www.feau-immobilier.fr,https://www.feau-immobilier.fr/
Official (Oren & Tal Alexander),,03_Real Estate,,90,,https://www.official-estates.com,https://www.official-estates.com/
One57 (New York),,03_Real Estate,,90,,https://www.extell.com,https://www.extell.com/
Antilia (Mumbai),,03_Real Estate,,90,,https://www.ril.com,https://www.ril.com/
Candy Capital,,03_Real Estate,,89,,https://www.candycapital.com,https://www.candycapital.com/
Berkeley Group,,03_Real Estate,,88,,https://www.berkeleygroup.co.uk,https://www.berkeleygroup.co.uk/
Grosvenor Estate,,03_Real Estate,,87,,https://www.grosvenor.com,https://www.grosvenor.com/
NEOM (Residential),,03_Real Estate,,85,,https://www.neom.com,https://www.neom.com/
Damac Properties,,03_Real Estate,,78,,https://www.damacproperties.com,https://www.damacproperties.com/
Country Garden,,03_Real Estate,,65,,https://www.countrygarden.com.hk,https://www.countrygarden.com.hk/
Evergrande Residential,,03_Real Estate,,45,,https://www.evergrande.com,https://www.evergrande.com/
Hermès Maison,,,,98,,https://www.hermes.com,https://finance.hermes.com/fr/
Gaggenau,,,,98,,https://www.gaggenau.com,https://www.gaggenau.com/
La Cornue,,,,98,,https://www.lacornue.com,https://www.lacornue.com/
Baccarat,,,,97,,https://www.baccarat.com,https://www.baccarat.com/
Boffi,,,,97,,https://www.boffi.com,https://www.boffi.com/
Edra,,,,97,,https://www.edra.com,https://www.edra.com/
Budri,,,,97,,https://www.budri.com,https://www.budri.com/
Dyson Home,,,,96,,https://www.dyson.fr,https://www.dyson.fr/
Bisazza,,,,96,,https://www.bisazza.com,https://www.bisazza.com/
Poltrona Frau,,,,96,,https://www.poltronafrau.com,https://www.poltronafrau.com/
Bulthaup,,,,96,,https://bulthaup.com,https://bulthaup.com/
Roche Bobois,,,,94,,https://www.roche-bobois.com,https://www.roche-bobois.com/
Farrow & Ball,,,,94,,https://www.farrow-ball.com,https://www.farrow-ball.com/
Minotti,,,,94,,https://www.minotti.com,https://www.minotti.com/
Poliform,,,,94,,https://www.poliform.it,https://www.poliform.it/
Miele,,,,93,,https://www.miele.fr,https://www.miele.fr/
Ligne Roset,,,,93,,https://www.ligne-roset.com,https://www.ligne-roset.com/
Giorgetti,,,,93,,https://www.giorgettimeda.com,https://www.giorgettimeda.com/
Cassina,,,,92,,https://www.cassina.com,https://www.cassina.com/
Bang & Olufsen,,,,92,,https://www.bang-olufsen.com,https://www.bang-olufsen.com/
Rimadesio,,,,92,,https://www.rimadesio.it,https://www.rimadesio.it/
Vitra,,,,90,,https://www.vitra.com,https://www.vitra.com/
Flos,,,,90,,https://flos.com,https://flos.com/
Kartell,,,,91,,https://www.kartell.com,https://www.kartell.com/
Artek,,,,87,,https://www.artek.fi,https://www.artek.fi/
IKEA,,,,85,,https://www.ikea.com,https://www.ikea.com/
Zara Home,,,,82,,https://www.zarahome.com,https://www.zarahome.com/
Made.com,,,,65,,https://www.next.co.uk,https://www.next.co.uk/
Carl Hansen & Søn,,,,95,,https://www.carlhansen.com,https://www.carlhansen.com/
PP Møbler,,,,96,,https://www.pp.dk,https://www.pp.dk/
B&B Italia,,,,95,,https://www.bebitalia.com,https://www.bebitalia.com/
Flexform,,,,95,,https://www.flexform.it,https://www.flexform.it/
Molteni&C,,,,94,,https://www.molteni.it,https://www.molteni.it/
